architecture	sample_size	ld_policy	attempted	completed	both_susie_converged	median_comparable_pairs	median_max_pp_h4_susie	h4_ge_0_8_susie	h4_ge_0_8_susie_denominator	h4_ge_0_8_susie_rate	h4_ge_0_8_susie_ci_low	h4_ge_0_8_susie_ci_high	median_pp_h4_abf	h4_ge_0_8_abf	h4_ge_0_8_abf_denominator	h4_ge_0_8_abf_rate	h4_ge_0_8_abf_ci_low	h4_ge_0_8_abf_ci_high	trait1_all_causal_cs_rate	trait2_all_causal_cs_rate	median_runtime_seconds	failed	completed_without_finite_pph4	finite_pph4	observed_high_pph4_per_attempt
shared_plus_specific	2000	EUR_matched	50	50	50	2	0.0876791410242915	6	43	0.13953488372093	0.0655572342796488	0.272635879673829	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.64	0.72	0.0449999999999733	0	7	43	0.12
shared_plus_specific	2000	EAS_substituted	50	50	50	2	0.100978311076181	5	43	0.116279069767442	0.0507042773980417	0.244791618100821	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.66	0.7	0.0499999999999758	0	7	43	0.1
shared_plus_specific	2000	AFR_substituted	50	50	50	5	0.0671240545899911	0	43	0	6.93889390390723e-18	0.0820098032257911	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.86	0.88	0.0600000000000023	0	7	43	0
shared_plus_specific	5000	EUR_matched	50	50	50	2	0.798413555789823	24	48	0.5	0.363893305026794	0.636106694973206	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.7	0.74	0.0500000000000114	0	2	48	0.48
shared_plus_specific	5000	EAS_substituted	50	50	50	6	0.874071997287678	28	48	0.583333333333333	0.442813322839763	0.711503322215884	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.6	0.68	0.0600000000000023	0	2	48	0.56
shared_plus_specific	5000	AFR_substituted	50	50	50	17.5	0.803842047631772	24	48	0.5	0.363893305026794	0.636106694973206	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.54	0.74	0.0799999999999841	0	2	48	0.48
shared_plus_specific	20000	EUR_matched	50	50	50	4	0.990214518036585	40	50	0.8	0.669628940677746	0.887562499842239	0.0682941928753427	12	50	0.24	0.142973913969917	0.374126837579429	0.84	0.8	0.0600000000000023	0	0	50	0.8
shared_plus_specific	20000	EAS_substituted	50	36	36	20	0.99999734230513	32	36	0.888888888888889	0.746851914096351	0.955933596996843	0.0682941928753427	12	50	0.24	0.142973913969917	0.374126837579429	0.277777777777778	0.388888888888889	1.84499999999999	14	0	36	0.64
shared_plus_specific	20000	AFR_substituted	50	50	50	25	0.999414466972614	40	50	0.8	0.669628940677746	0.887562499842239	0.0682941928753427	12	50	0.24	0.142973913969917	0.374126837579429	0.16	0.12	0.0799999999999983	0	0	50	0.8
distinct_only	2000	EUR_matched	50	50	50	1	0.0647529368781152	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.92	0.98	0.0300000000000011	0	4	46	0.02
distinct_only	2000	EAS_substituted	50	50	50	2	0.0588785044315873	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.92	0.98	0.0400000000000134	0	4	46	0.02
distinct_only	2000	AFR_substituted	50	50	50	4	0.0194593950849912	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.88	0.96	0.0500000000000682	0	4	46	0.02
distinct_only	5000	EUR_matched	50	50	50	1	0.0700288513781062	5	50	0.1	0.0434757649318904	0.213602314374797	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.96	0.96	0.0300000000000153	0	0	50	0.1
distinct_only	5000	EAS_substituted	50	50	50	3	0.0906744330489613	13	50	0.26	0.158715274935524	0.395531572648488	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.88	0.96	0.0500000000000043	0	0	50	0.26
distinct_only	5000	AFR_substituted	50	50	50	13.5	0.187481650503483	9	50	0.18	0.0977019267023418	0.307960536743008	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.84	0.92	0.0649999999999977	0	0	50	0.18
distinct_only	20000	EUR_matched	50	50	50	1	3.53251990786116e-14	0	50	0	0	0.0713475991333587	7.07332041012875e-18	0	50	0	0	0.0713475991333587	1	1	0.0300000000000011	0	0	50	0
distinct_only	20000	EAS_substituted	50	39	39	20	0.759658866713177	19	39	0.487179487179487	0.33865175329862	0.63800637115542	7.07332041012875e-18	0	50	0	0	0.0713475991333587	0.58974358974359	0.692307692307692	1.485	11	0	39	0.38
distinct_only	20000	AFR_substituted	50	50	50	25	0.888844614904486	26	50	0.52	0.385117448900446	0.652028647134219	7.07332041012875e-18	0	50	0	0	0.0713475991333587	0.58	0.48	0.0800000000000018	0	0	50	0.52
